,id,title,release_date,revenue,runtime,adult,backdrop_path,homepage,overview,popularity,poster_path,tagline,genres,spoken_languages,vote_avg,revenue_category
277,51876,Limitless,2011-03-08,161849455,105,False,/vQGo5VjJcHxpzIa8lMBFzpAth1w.jpg,http://www.iamrogue.com/limitless/fullsite/,"A paranoia-fueled action thriller about an unsuccessful writer whose life is transformed by a top-secret ""smart drug"" that allows him to use 100% of his brain and become a perfect version of himself. His enhanced abilities soon attract shadowy forces that threaten his new life in this darkly comic and provocative film.",33.384,/hv5JMCrMVLvV6HKPf9FcBuyk2MG.jpg,What if a pill could make you rich and powerful?,"Thriller, Mystery, Science Fiction","English, Italian, Russian, Mandarin, French",excellent (7-10),good(100014025-1000000000)
278,206647,Spectre,2015-10-26,880674609,148,False,/cCKU3EuiSKt6xsOI6gg5kiFgZYm.jpg,https://www.mgm.com/movies/spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",33.598,/672kUEMtTHcaVYSVY4eiHEliHFa.jpg,A Plan No One Escapes,"Action, Adventure, Thriller","French, English, Spanish, Italian, German",good (6-7),good(100014025-1000000000)
281,8844,Jumanji,1995-12-15,262821940,104,False,/pYw10zrqfkdm3yD9JTO6vEGQhKy.jpg,http://www.sonypictures.com/movies/jumanji/,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",13.444,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,Roll the dice and unleash the excitement!,"Adventure, Fantasy, Family","English, French",excellent (7-10),good(100014025-1000000000)
282,76600,Avatar: The Way of Water,2022-12-14,2320250281,192,False,/8rpDcsfLJypbO6vREc0547VKqEv.jpg,https://www.avatar.com/movies/avatar-the-way-of-water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",241.285,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,Return to Pandora.,"Science Fiction, Adventure, Action",English,excellent (7-10),"excellent(,2000000000,2923706026)"
283,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,745013115,143,False,/9iRRfMZbnpgHDdKi2lczGGYZXDo.jpg,,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",123.542,/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg,Evil Has Reigned For 100 Years...,"Adventure, Family, Fantasy","English, German",excellent (7-10),good(100014025-1000000000)
285,2080,X-Men Origins: Wolverine,2009-04-28,373062864,107,False,/wvqdJLVh0mSblly7UnYFPEk04Wd.jpg,https://www.20thcenturystudios.com/movies/x-men-origins-wolverine,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",4.317,/yj8LbTju1p7CUJg7US2unSBk33s.jpg,Witness the origin.,"Adventure, Action, Thriller, Science Fiction",English,good (6-7),good(100014025-1000000000)
286,45243,The Hangover Part II,2011-05-25,586764305,102,False,/aGmsekNU5cMOkJMpbdRutkvmVMl.jpg,http://hangoverpart2.warnerbros.com/,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",51.808,/jrP9zmdSUpOzzUXpEqPqg3dryUr.jpg,The Wolfpack Is Back,Comedy,"English, Thai",good (6-7),good(100014025-1000000000)
287,58574,Sherlock Holmes: A Game of Shadows,2011-11-22,334615000,129,False,/lWNASscWXn32Asr9vkB1wq6cKvD.jpg,http://sherlockholmes2.warnerbros.com/index.html,"There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",31.501,/y1MYZkwhZK6L0Jy4YMuPktzDOfn.jpg,The game is afoot.,"Adventure, Action, Crime, Mystery",English,excellent (7-10),good(100014025-1000000000)
288,337339,The Fate of the Furious,2017-04-12,1236005118,136,False,/jzdnhRhG0dsuYorwvSqPqqnM1cV.jpg,https://www.thefastsaga.com/fast-saga/ff8,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",56.124,/dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg,Family no more.,"Action, Crime, Thriller","English, Spanish",good (6-7),better(1000000000-1500000000)
289,458156,John Wick: Chapter 3 - Parabellum,2019-05-15,326709727,131,False,/vVpEOvdxVBP2aV166j5Xlvb5Cdc.jpg,https://www.lionsgate.com/movies/john-wick-chapter-3-parabellum,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",80.825,/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,Every action has consequences.,"Action, Thriller, Crime","Arabic, Mandarin, English, Indonesian, Italian, Japanese, Latin, Russian",excellent (7-10),good(100014025-1000000000)
